user_id,name,screenname,location,accreated,followers,friend,verified
1270757601689518080,EnterWind,lordenterwind,,2020-06-10 16:40:13,17,296,0
1251506433939566593,Saki.,earthisfIat,"Scotland, United Kingdom",2020-04-18 13:43:20,227,289,0
1393919731,𝐉𝐢𝐩𝐲𝐞𝐨𝐧𝐠 𝐛𝐞𝐬𝐭𝐛𝐨𝐢,Seodalmeow,Riding,2013-05-01 06:15:09,171,303,0
482543292,نور النساء 🦄,hanisabdrhmn_,"Sabah, Malaysia",2012-02-04 01:31:30,571,527,0
1324947562537775104,Ur_cheekcaW,cheekcaw,,2020-11-07 05:31:39,8,91,0
38467477,Amanda Ratih Pratiwi,sejuta_cinta,Bekasi,2009-05-07 16:52:22,2024,1737,0
1335512298,republikcoklat,republikcoklat,Indonesia,2013-04-08 02:02:17,261,1361,0
3253475570,🐣,MieraEmilia,,2015-06-23 09:02:09,144,150,0
113260036,callmebaby,babyyuhuu,In your wonderland,2010-02-11 06:05:03,671,745,0
1000232174908424192,Zahidah,nzahidahnadia,Malaysia,2018-05-26 04:28:28,185,248,0
1306464718949941249,kaff,k_kafkaesque,unseen palace.,2020-09-17 05:27:27,10,32,0
1116256195830960128,srisulistyadewi,srisulistyadewi,Jalan Raya Singapadu ,2019-04-11 08:26:30,12,186,0
1039183444314472448,Hide.,hidekimuraa,MJP - JPN,2018-09-10 16:06:54,213,255,0
594354316,m i m i✨,nrfarah_,"KUL,MYA",2012-05-30 06:17:30,747,558,0
1072306761799847937,CASSANDRA.,redamancly,"️️️️ ️️️️️️ ️

BUMI PERTIWI TANPA PAGEBLUK.

️️️️ ️️️️️️
MAKARA JINGGA, MMXVIII.
━━━━━━━━━━━━━━━━━
      𝒈𝒖𝒃𝒂𝒉𝒂𝒏, #弗洛. on ts.

️️️️ ️️️️️️ ️",2018-12-11 01:47:09,173,69,0
1369123344,Makassar Unyu,MakassarUnyu,Gratis Ongkir Makassar,2013-04-21 09:33:11,235,83,0
979294099604848640,𝓐𝓲𝓵𝓮𝓮𝓷,puffycakeu,"️️ ️
️️ ️️
Aileen Elnatha H. Adijaya,
your  𝒘  𝒐  𝒓  𝒔  𝒕 daydream.
A   basketball   a t h l e t e.
I'm   a  little pwincessㅡ!♡
️️ ️
️️ ️️
️️
",2018-03-29 09:48:02,54,65,0
109815351,Michael Gunawan,mikefergusson,Indonesia,2010-01-30 10:46:47,221,158,0
77724801,Arif Maulana Newosqie,newosqie,"Jakarta, Indonesia",2009-09-27 12:27:45,3405,829,0
1321243759535816704,ISHTARA.,jodohakina,"ㅤ
ㅤ
ㅤ
DEPARTEMEN BIOLOGI UNIVERSITAS INDONESIA, 2016.
──────────────────────────
#이시명   ╱  OLEH #𝗔𝗟𝗠𝗘𝗜𝗦𝗔𝗡   ╱  LOKA NIRPANDEMI.
ㅤ
ㅤ
ㅤ",2020-10-28 00:14:16,6,7,0
975335827,najwanorman,NajwaSoya,,2012-11-28 04:11:55,218,230,0
1325136701862244354,Harun L. Sugiantio,harunsugiantio,nonpandemic!AU,2020-11-07 18:03:26,34,43,0
1027419727029620736,𝐀𝐃𝐑𝐈𝐀𝐍𝐀.,k_anyaah,"⠀

𝐒𝐀𝐌𝐒𝐊𝐀𝐑𝐀.⠀⠀Bhasarudhita mandasiddya reka duhita susrama sang pendusta prasiddha. Kandheg arana saka saubhagya. Loka nirpandemi, UI 2018.

⠀",2018-08-09 05:02:06,69,27,0
174882310,EJEN HAN👨‍💼📜⚰️🚘✈️💉💰🗞️,hanafiEzu,Klang,2010-08-05 01:58:04,556,3632,0
826028627670151168,1ni,waniekamal15,,2017-01-30 11:25:46,1611,902,0
78274930,Scha.Takaful 🇲🇾,schanazri_,Malaysia,2009-09-29 10:48:37,1645,875,0
1068912511649374210,sha ❤️,shahirahsallehh,,2018-12-01 16:59:37,109,692,0
455607678,W M Ikram,wanmohdikram1,,2012-01-05 09:10:25,402,371,0
352980396,TajulAsyrafArus,asyraf_tj,Malaysia,2011-08-11 11:06:00,212,359,0
49495216,XishXrXsnX,sincxsha,"Damansara, Selangor",2009-06-22 01:37:14,299,98,0
